support,itemsets
0.08256880733944955,"frozenset({'ShortRuntime', 'HighBudget', 'PopularTop25'})"
0.2889908256880734,"frozenset({'HighRating', 'HighRevenue', 'LongRuntime'})"
0.25229357798165136,"frozenset({'HighRating', 'NonSummerRelease', 'HighRevenue'})"
0.26605504587155965,"frozenset({'HighRating', 'HighRevenue', 'NotPopularTop25'})"
0.0779816513761468,"frozenset({'HighRating', 'HighRevenue', 'PopularTop25'})"
0.10550458715596331,"frozenset({'HighRating', 'HighRevenue', 'Science Fiction'})"
0.09174311926605505,"frozenset({'HighRating', 'SummerRelease', 'HighRevenue'})"
0.0871559633027523,"frozenset({'HighRating', 'Thriller', 'HighRevenue'})"
0.26146788990825687,"frozenset({'HighRating', 'NonSummerRelease', 'LongRuntime'})"
0.2706422018348624,"frozenset({'HighRating', 'LongRuntime', 'NotPopularTop25'})"
0.11009174311926606,"frozenset({'HighRating', 'LongRuntime', 'Science Fiction'})"
0.0779816513761468,"frozenset({'HighRating', 'SummerRelease', 'LongRuntime'})"
0.11467889908256881,"frozenset({'HighRating', 'Thriller', 'LongRuntime'})"
0.07339449541284404,"frozenset({'HighRating', 'LowBudget', 'LowRevenue'})"
0.09174311926605505,"frozenset({'HighRating', 'LowBudget', 'NonSummerRelease'})"
0.10550458715596331,"frozenset({'HighRating', 'LowBudget', 'NotPopularTop25'})"
0.0779816513761468,"frozenset({'HighRating', 'NonSummerRelease', 'LowRevenue'})"
0.07339449541284404,"frozenset({'HighRating', 'LowRevenue', 'NotPopularTop25'})"
0.25688073394495414,"frozenset({'HighRating', 'NonSummerRelease', 'NotPopularTop25'})"
